"","Distrito","Dirección","Tipo de Inmueble","Descripción","Habitaciones Disponibles","Precio Mensual","Notas","driving.time","driving.metros","walking.time","walking.metros"
"52","Gregorio VII","Via Gregorio VII int. 13","Appartamento","Ingresso, salone, cucina, 4 camere, 2 bagni","2 singole","€ 500; Condominio e acqua inclusi","disponibile per ragazze Autobus Stazione San Pietro","1632","15922","7011","9463"
"53","Gregorio VII","Via Francesco Pacelli","Appartamento","Ingresso, soggiorno, 4 camere, cucina 2 bagni","1 singola","€425; spese escluse","disponibile per ragazzi Autobus","1544","15222","7626","10286"
"54","Laurentina","Via Laurentina 197","Appartamento","Ingresso, cucina/living, 4 camere, 2 bagni","2 singole","€ 380; condominio, acqua e riscaldamento inclusi","disponibile da 1°Marzo per ragazzi Metro B Marconi Autobus 716 - 766 – 770","1719","37529","14432","19331"
"55","Laurentina","Via Laurentina 32","Appartamento","Ingresso, soggiorno, cucina, 4 camere, 2 bagni","1 singola","€ 450 singola; condominio, acqua, riscaldamento e tassa rifiuti e internet inclusi","disponibile per ragazzi/ragazze metro B Marconi","1719","37529","14432","19331"
"56","Lepanto","Via Montesanto","Appartamento","Ingresso, 3 camere, cucina, bagno","3 singola","€ 550; € 500; € 450; condominio, acqua e riscaldamento","disponibile per ragazzi/ragazze Metro A Lepanto","15053","406632","284843","377749"
"57","Magliana","Via Biagio a Ripoli","Appartamento","Ingresso, 2 camere, cucina bagno, terrazzo","intero appartamento","€ 850; condominio, acqua e riscaldamento inclusi","disponibile dal 10 Marzo per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense","12099","345181","245076","329230"
"58","Magliana","Via della Magliana Nuova 342","Appartamento","ingresso con cucina/living, 2 camere, 2 bagni, ripostiglio, terrazzo","Intero appartamento","€ 1000; spese escluse","disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense","1725","39215","10085","13433"
"59","Magliana","Via della Magliana Nuova 342","Appartamento","ingresso cucina/living, camera, bagno, terrazzo","Intero appartamento","€ 700; spese escluse","disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense","1725","39215","10085","13433"
"60","Magliana","Via della Magliana Nuova 342","Appartamento","ingresso con cucina/living, 3 camere, 2 bagni, ripostiglio, terrazzo","Intero appartamento","€ 1300; spese escluse","disponibile per ragazzi/ragazze Metro B Eur- Magliana Autobus 128 Stazione Villa Bonelli/Piramide Ostiense","1725","39215","10085","13433"
"61","Monteverde / Trastevere","Via Monte Verde","Apartamento","Ingresso, 3 camere, cucina, bagno","3 singole","€425; € 450; € 475; condominio, acqua e riscaldamento","disponibile per ragazzi/ragazze Stazione Quattro Venti","1979","17841","7656","10187"
"62","Monteverde / Trastevere","Via Cesare Pascarella","Mini appartamento","Ingresso - Sub - Ingresso in comune, ingresso indipendente, camera, cucina e bagno","Intero appartamento","€ 750; condominio, acqua, riscaldamento e tassa rfiuti inclusi","disponibile dal 20 febbraio per ragazzi/ragazze Metro B Piramide Tram 8 Stazione Trastevere","1979","17841","7656","10187"
